File	proportion
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.0013455
Haloarcula_hispanica_ATCC_33960_uid72475	0.00130179
Borrelia_afzelii_PKo_uid58653	0.001174
Borrelia_afzelii_PKo_uid58653	0.00116634
Haloferax_volcanii_DS2_uid46845	0.00101453
Thioalkalivibrio_K90mix_uid46181	0.00098474
Clostridium_botulinum_Ba4_657_uid59173	0.000856531
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.000816388
Borrelia_afzelii_PKo_uid58653	0.000666451
Burkholderia_phymatum_STM815_uid58699	0.000636333
Borrelia_afzelii_PKo_uid58653	0.000632833
Borrelia_afzelii_PKo_uid58653	0.000602859
Leptospira_interrogans_serovar_Lai_56601_uid57881	0.00058919
Borrelia_afzelii_PKo_uid58653	0.000565913
Borrelia_afzelii_PKo_uid58653	0.00052148
Borrelia_afzelii_PKo_uid58653	0.000474886
Halomicrobium_mukohataei_DSM_12286_uid59107	0.000458607
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.000443657
Salmonella_enterica_serovar_Typhi_CT18_uid57793	0.000390939
Desulfovibrio_vulgaris_Hildenborough_uid57645	0.000367692
Roseobacter_denitrificans_OCh_114_uid58597	0.000360429
Aliivibrio_salmonicida_LFI1238_uid59251	0.000354208
Sinorhizobium_medicae_WSM419_uid58549	0.000312632
Rhodoferax_ferrireducens_T118_uid58353	0.000311953
Borrelia_afzelii_PKo_uid58653	0.000304127
Shewanella_ANA_3_uid58347	0.000288307
Streptomyces_violaceusniger_Tu_4113_uid52609	0.000279107
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	0.000243536
Yersinia_pestis_Pestoides_F_uid58619	0.000239248
Roseobacter_denitrificans_OCh_114_uid58597	0.000234445
Sulfolobus_islandicus_Y_N_15_51_uid58825	0.000231685
Haloferax_volcanii_DS2_uid46845	0.000194048
Rhodobacter_sphaeroides_ATCC_17025_uid58451	0.000191208
Streptomyces_violaceusniger_Tu_4113_uid52609	0.000177117
Yersinia_enterocolitica_palearctica_105_5R_r__uid63663	0.000173837
Coxiella_burnetii_RSA_493_uid57631	0.000167805
Borrelia_afzelii_PKo_uid58653	0.000167603
Burkholderia_glumae_BGR1_uid59397	0.000151573
Burkholderia_glumae_BGR1_uid59397	0.000150797
Aquifex_aeolicus_VF5_uid57765	0.000147559
Burkholderia_glumae_BGR1_uid59397	0.00014362
Burkholderia_glumae_BGR1_uid59397	0.000142813
Escherichia_coli_S88_uid62979	0.000138317
Aliivibrio_salmonicida_LFI1238_uid59251	0.000138077
Borrelia_afzelii_PKo_uid58653	0.000134619
Salmonella_enterica_serovar_Paratyphi_C_RKS4594_uid59063	0.000128317
Yersinia_pestis_Pestoides_F_uid58619	0.000122296
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	0.000110693
Psychrobacter_cryohalolentis_K5_uid58373	8.51432e-05
Roseobacter_denitrificans_OCh_114_uid58597	5.42508e-05
Rhodobacter_sphaeroides_ATCC_17025_uid58451	5.41399e-05
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	4.13761e-05
Helicobacter_pylori_P12_uid59327	3.7416e-05
Methanocaldococcus_vulcanius_M7_uid41131	3.72695e-05
Clostridium_botulinum_Ba4_657_uid59173	3.28718e-05
Aliivibrio_salmonicida_LFI1238_uid59251	2.35323e-05
Rhodobacter_sphaeroides_ATCC_17025_uid58451	2.31632e-05
Roseobacter_denitrificans_OCh_114_uid58597	1.94071e-05
Aliivibrio_salmonicida_LFI1238_uid59251	1.8057e-05
Archaeoglobus_profundus_DSM_5631_uid43493	1.57981e-05
Methanocaldococcus_vulcanius_M7_uid41131	1.49754e-05
Haloferax_volcanii_DS2_uid46845	1.32957e-05
Salmonella_enterica_serovar_Heidelberg_SL476_uid58973	4.15447e-06
